smiles,name,sources,n_sources
CCCCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCCOC(=O)CC,,dream|local|pyrfume|unified,4
Cc1ccc(O)cc1,,dream|local|pyrfume|unified,4
COC(=O)CCC(=O)OC,,dream|local|pyrfume|unified,4
CCCCCC(=O)CC,,dream|local|pyrfume|unified,4
CCCCCC(=O)OC,,dream|local|pyrfume|unified,4
CCCCCCC(=O)OC,,dream|local|pyrfume|unified,4
COc1cc(C)ccc1C(C)C,,dream|local|pyrfume|unified,4
CC(C)CCN,,dream|local|pyrfume|unified,4
CCCC(=O)O,,dream|local|pyrfume|unified,4
NCCC(=O)O,,dream|local|pyrfume|unified,4
CC(=O)OC(C)C,,dream|local|pyrfume|unified,4
C=C(C)OC(C)=O,,dream|local|pyrfume|unified,4
CC1CCC(=O)O1,,dream|local|pyrfume|unified,4
Cc1cccc(C)n1,,dream|local|pyrfume|unified,4
O=C1CCCCC1,,dream|local|pyrfume|unified,4
Sc1ccccc1,,dream|local|pyrfume|unified,4
CCCCCCCCOC(=O)C(C)C,,dream|local|pyrfume|unified,4
nan,,dream|pyrfume,2
CCCCOC(=O)CCC,,dream|local|pyrfume|unified,4
C=CCCCCCCCCC(=O)OCCCC,,dream|local|pyrfume|unified,4
CCCCC(=O)O,,dream|local|pyrfume|unified,4
CCCOC(C)=O,,dream|local|pyrfume|unified,4
CCCCN,,dream|local|pyrfume|unified,4
CCOC=O,,dream|local|pyrfume|unified,4
c1ccsc1,,dream|local|pyrfume|unified,4
O=C(O)CCC(=O)O,,dream|local|pyrfume|unified,4
O=C(O)C=CC(=O)O,,dream|local|pyrfume|unified,4
CCCCCCCCCCCCCC(=O)OC(C)C,,dream|local|pyrfume|unified,4
CCCCCCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCOC(=O)CCCCCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCCCCC(C)=O,,dream|local|pyrfume|unified,4
CCCCC=O,,dream|local|pyrfume|unified,4
CCSSCC,,dream|local|pyrfume|unified,4
C1CCCCC1,,dream|local|pyrfume|unified,4
c1ccncc1,,dream|local|pyrfume|unified,4
C1CCNCC1,,dream|local|pyrfume|unified,4
CC(=O)CCC=C(C)C,,dream|local|pyrfume|unified,4
CCCCCCCC(=O)OC,,dream|local|pyrfume|unified,4
CCCCCCC(C)=O,,dream|local|pyrfume|unified,4
CCCCCCC(=O)O,,dream|local|pyrfume|unified,4
CCCCCCO,,dream|local|pyrfume|unified,4
CCCSCCC,,dream|local|pyrfume|unified,4
CCCCCCCCCCCCCCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCCCCCCC,,dream|local|pyrfume|unified,4
C=CCCCCCC,,dream|local|pyrfume|unified,4
CCCCCCCO,,dream|local|pyrfume|unified,4
CCCCCCCC(=O)OCCCCCC,,dream|local|pyrfume|unified,4
CCCCCCC=CC(=O)OC,,dream|local|pyrfume|unified,4
CCCCCCC#CC(=O)OC,,dream|local|pyrfume|unified,4
CCCCCCCCO,,dream|local|pyrfume|unified,4
CCCCCCCCCCC,,dream|local|pyrfume|unified,4
CCCCCCCOC(C)=O,,dream|local|pyrfume|unified,4
CCCCCCCCCC(C)=O,,dream|local|pyrfume|unified,4
CC(=O)c1ccccn1,,dream|local|pyrfume|unified,4
CCCCCCCCCCO,,dream|local|pyrfume|unified,4
CCCCCCCCCC=O,,dream|local|pyrfume|unified,4
CCCCCCCCCCC(=O)O,,dream|local|pyrfume|unified,4
Cc1nc(C)c(C)nc1C,,dream|local|pyrfume|unified,4
CCCCCCCCCCCO,,dream|local|pyrfume|unified,4
CCCCCCCCCCC=O,,dream|local|pyrfume|unified,4
CC1=CC(=O)CC(C)(C)C1=O,,dream|local|pyrfume|unified,4
CCCCCCCCCCCCO,,dream|local|pyrfume|unified,4
COC(OC)c1ccccc1,,dream|local|pyrfume|unified,4
CCCCCCCCCCCCOC(C)=O,,dream|local|pyrfume|unified,4
CCCCCC1=C(C)CCC1=O,,dream|local|pyrfume|unified,4
COc1ccc(C(C)=O)cc1OC,,dream|local|pyrfume|unified,4
C=CC(C)(CCC=C(C)C)OC(C)=O,,dream|local|pyrfume|unified,4
O=C(OCc1ccccc1)c1ccccc1O,,dream|local|pyrfume|unified,4
CC(=O)c1ccccc1O,,dream|local|pyrfume|unified,4
SCCCCCCS,,dream|local|pyrfume|unified,4
COC(=O)c1ccccc1O,,dream|local|pyrfume|unified,4
CC(=O)c1ccc(C)o1,,dream|local|pyrfume|unified,4
O=C(c1ccccc1)c1ccccc1,,dream|local|pyrfume|unified,4
O=C1CCc2ccccc2O1,,dream|local|pyrfume|unified,4
COc1ccc(C=O)cc1OC,,dream|local|pyrfume|unified,4
CC=Cc1ccc(OC(=O)Cc2ccccc2)c(OC)c1,,dream|local|pyrfume|unified,4
CC(C)COC(=O)c1ccccc1,,dream|local|pyrfume|unified,4
O=C(OCc1ccccc1)c1ccccc1,,dream|local|pyrfume|unified,4
O=Cc1ccc2c(c1)OCO2,,dream|local|pyrfume|unified,4
CC=Cc1ccc2c(c1)OCO2,,dream|local|pyrfume|unified,4
O=C1CCCC1,,dream|local|pyrfume|unified,4
CCOc1cc(C=O)ccc1O,,dream|local|pyrfume|unified,4
COc1cc(C=O)ccc1O,,dream|local|pyrfume|unified,4
COc1cc(C(=O)O)ccc1O,,dream|local|pyrfume|unified,4
CC(C)c1ccc(C=O)cc1,,dream|local|pyrfume|unified,4
CCCCCC(C=O)=Cc1ccccc1,,dream|local|pyrfume|unified,4
CCCCOC(=O)Cc1ccccc1,,dream|local|pyrfume|unified,4
CCC(=O)OCc1ccccc1,,dream|local|pyrfume|unified,4
CC(C)COC(=O)C=Cc1ccccc1,,dream|local|pyrfume|unified,4
CCC(=O)OCCc1ccccc1,,dream|local|pyrfume|unified,4
CCC(=O)OCCCc1ccccc1,,dream|local|pyrfume|unified,4
OCCCc1ccccc1,,dream|local|pyrfume|unified,4
O=Cc1ccc(O)cc1,,dream|local|pyrfume|unified,4
COc1ccc(C=O)cc1,,dream|local|pyrfume|unified,4
CCCC(=O)CCC,,dream|local|pyrfume|unified,4
CCOC(=O)CCC(=O)OCC,,dream|local|pyrfume|unified,4
Cc1cnc(C)cn1,,dream|local|pyrfume|unified,4
CC(C)CCO,,dream|local|pyrfume|unified,4
CCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
C=CCOC(=O)CCCCC,,dream|local|pyrfume|unified,4
CCCC=O,,dream|local|pyrfume|unified,4
C1CCNC1,,dream|local|pyrfume|unified,4
CCCCOC(C)=O,,dream|local|pyrfume|unified,4
CC(=O)OCCC(C)C,,dream|local|pyrfume|unified,4
O=C(O)CCCCC(=O)O,,dream|local|pyrfume|unified,4
CCCCCCCCCCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCCCCCCC(=O)O,,dream|local|pyrfume|unified,4
CCCCCCCC=O,,dream|local|pyrfume|unified,4
CC(=O)C(=O)O,,dream|local|pyrfume|unified,4
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,dream|local|pyrfume|unified,4
Nc1ccccc1C(=O)OCCc1ccccc1,,dream|local|pyrfume|unified,4
O=C(O)C(O)C(O)C(=O)O,,dream|local|pyrfume|unified,4
COC(=O)c1ccccc1N,,dream|local|pyrfume|unified,4
COc1ccccc1C=O,,dream|local|pyrfume|unified,4
COC(=O)CCSC,,dream|local|pyrfume|unified,4
Cc1nc(C)c(C)s1,,dream|local|pyrfume|unified,4
c1coc(CSCc2ccco2)c1,,dream|local|pyrfume|unified,4
Cc1ncsc1CCO,,dream|local|pyrfume|unified,4
Cc1ccccc1S,,dream|local|pyrfume|unified,4
Cc1cccc2nccnc12,,dream|local|pyrfume|unified,4
CCC(C)CO,,dream|local|pyrfume|unified,4
CCc1cnccn1,,dream|local|pyrfume|unified,4
O=C(O)C=Cc1ccccc1,,dream|local|pyrfume|unified,4
CC(=O)OCc1ccccc1,,dream|local|pyrfume|unified,4
CC(=O)Oc1ccc(C)cc1,,dream|local|pyrfume|unified,4
C=CCc1ccc(OC)cc1,,dream|local|pyrfume|unified,4
CCOC(C)=O,,dream|local|pyrfume|unified,4
C=CCOC(=O)CCCCCC,,dream|local|pyrfume|unified,4
CCCCCC(=O)O,,dream|local|pyrfume|unified,4
CCCCCCOC(C)=O,,dream|local|pyrfume|unified,4
CCCCCCCCCCCC(=O)O,,dream|local|pyrfume|unified,4
CCCCCCCCCO,,dream|local|pyrfume|unified,4
CCCCCCCCCOC(C)=O,,dream|local|pyrfume|unified,4
c1coc(Cn2cccc2)c1,,dream|local|pyrfume|unified,4
CCC(C)C1CCCCC1=O,,dream|local|pyrfume|unified,4
O=C(O)C1CCCN1,,dream|local|pyrfume|unified,4
CCCCC(CC)C(=O)O,,dream|local|pyrfume|unified,4
NC(Cc1ccccc1)C(=O)O,,dream|local|pyrfume|unified,4
c1ccc(CSSCc2ccccc2)cc1,,dream|local|pyrfume|unified,4
COc1ccc(OC)cc1,,dream|local|pyrfume|unified,4
CC(=O)OC(C)(C)Cc1ccccc1,,dream|local|pyrfume|unified,4
COc1cccc(OC)c1,,dream|local|pyrfume|unified,4
CC=CC=CCOC(C)=O,,dream|local|pyrfume|unified,4
CC1CCC(C(C)C)C(O)C1,,dream|local|pyrfume|unified,4
CCc1nc(C)cs1,,dream|local|pyrfume|unified,4
CCOc1nccs1,,dream|local|pyrfume|unified,4
CCc1nccnc1C,,dream|local|pyrfume|unified,4
CCc1nccnc1CC,,dream|local|pyrfume|unified,4
CSCSC,,dream|local|pyrfume|unified,4
CC(C)CC(=O)OC1CC(C)CCC1C(C)C,,dream|local|pyrfume|unified,4
COC(=O)CSC,,dream|local|pyrfume|unified,4
SC1CCCC1,,dream|local|pyrfume|unified,4
CC=CC=CCO,,dream|local|pyrfume|unified,4
CCCCCCCCC(=O)OC,,dream|local|pyrfume|unified,4
C=Cc1scnc1C,,dream|local|pyrfume|unified,4
C=CCOC(=O)Cc1ccccc1,,dream|local|pyrfume|unified,4
C=C1CCC2CC1C2(C)C,,dream|local|pyrfume|unified,4
CCC(C)c1nccs1,,dream|local|pyrfume|unified,4
CCC1(O)C2(C)CCC(C2)C1(C)C,,dream|local|pyrfume|unified,4
CCCCCC=CCO,,dream|local|pyrfume|unified,4
CC1(C)C2CC=C(C=O)C1C2,,dream|local|pyrfume|unified,4
CC(C)Cc1nccs1,,dream|local|pyrfume|unified,4
C=CCOC(=O)C=Cc1ccccc1,,dream|local|pyrfume|unified,4
CCCCCCCC(=O)OCCC(C)C,,dream|local|pyrfume|unified,4
C=CCOC(=O)CCC,,dream|local|pyrfume|unified,4
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,,dream|local|pyrfume|unified,4
CC1=CCC(C(C)(C)OC=O)CC1,,dream|local|pyrfume|unified,4
CCCC(O)CC(=O)OCC,,dream|local|pyrfume|unified,4
CC=CC=CC(=O)OCC,,dream|local|pyrfume|unified,4
CC(=O)c1nccs1,,dream|local|pyrfume|unified,4
CCCC(=O)SC,,dream|local|pyrfume|unified,4
CCCCCCOC(=O)CC,,dream|local|pyrfume|unified,4
COc1nccnc1CC(C)C,,dream|local|pyrfume|unified,4
CCCC=CCOC(C)=O,,dream|local|pyrfume|unified,4
COc1ccc(O)c(C(C)(C)C)c1,,dream|local|pyrfume|unified,4
CCC=CCCOC(=O)c1ccccc1,,dream|local|pyrfume|unified,4
CC1COC(c2ccccc2)O1,,dream|local|pyrfume|unified,4
CC(=O)OC1CC(C)CCC1C(C)C,,dream|local|pyrfume|unified,4
CCCCCCOC(=O)CCC,,dream|local|pyrfume|unified,4
C=CCOC(=O)CCC1CCCCC1,,dream|local|pyrfume|unified,4
CCCCCCCCCC1CCCC(=O)O1,,dream|local|pyrfume|unified,4
CCc1ccc(O)c(OC)c1,,dream|local|pyrfume|unified,4
CC1=CC(C)C(C=O)CC1,,dream|local|pyrfume|unified,4
COc1nccnc1C,,dream|local|pyrfume|unified,4
CC1=C(O)C(=O)OC1C,,dream|local|pyrfume|unified,4
c1cscn1,,dream|local|pyrfume|unified,4
c1cnccn1,,dream|local|pyrfume|unified,4
COc1cnccn1,,dream|local|pyrfume|unified,4
Cc1ccc(C(C)CC=O)o1,,dream|local|pyrfume|unified,4
CCc1ccco1,,dream|local|pyrfume|unified,4
CSCCC=O,,dream|local|pyrfume|unified,4
CCc1nccnc1C(C)=O,,dream|local|pyrfume|unified,4
CCCCCCCCCC(=O)O,,dream|local|pyrfume|unified,4
CCC=CCCOC(=O)CC,,dream|local|pyrfume|unified,4
C=CC(O)CCCCC,,dream|local|pyrfume|unified,4
c1cnc2c(n1)CCCC2,,dream|local|pyrfume|unified,4
CCCCOC(=O)C(C)O,,dream|local|pyrfume|unified,4
CC(=O)c1cccnc1,,dream|local|pyrfume|unified,4
SCCc1cnccn1,,dream|local|pyrfume|unified,4
CCSCC,,dream|local|pyrfume|unified,4
CC(=O)OCCC1=CCC2CC1C2(C)C,,dream|local|pyrfume|unified,4
CSSSC,,dream|local|pyrfume|unified,4
CCCCCCCCCCCCCCCCO,,dream|local|pyrfume|unified,4
CCC=CCCOC(C)=O,,dream|local|pyrfume|unified,4
CC(O)C(C)S,,dream|local|pyrfume|unified,4
CCCCC1OC(=O)CC1C,,dream|local|pyrfume|unified,4
CCCC(C)C(=O)OCC,,dream|local|pyrfume|unified,4
OC1CSC(O)CS1,,dream|local|pyrfume|unified,4
COC1=C(C)OC(C)C1=O,,dream|local|pyrfume|unified,4
COc1ccccc1OC(=O)Cc1ccccc1,,dream|local|pyrfume|unified,4
CCCCCCC=CCO,,dream|local|pyrfume|unified,4
CCC=CCCOC(=O)C(C)C,,dream|local|pyrfume|unified,4
CC=Cc1ccc(OC)cc1,,dream|local|pyrfume|unified,4
C=CCOC(=O)c1ccco1,,dream|local|pyrfume|unified,4
CCC(C)O,,dream|local|pyrfume|unified,4
CCC=CCCOC(=O)Cc1ccccc1,,dream|local|pyrfume|unified,4
CC(=O)C(C)=O,,dream|local|pyrfume|unified,4
CC=C(C=O)c1ccccc1,,dream|local|pyrfume|unified,4
CC12CCC(CC1=O)C2(C)C,,dream|local|pyrfume|unified,4
CC12CCC(CC1)C(C)(C)O2,,dream|local|pyrfume|unified,4
CCCCCC(CC)OC(C)=O,,dream|local|pyrfume|unified,4
Cc1ccnc2ccccc12,,dream|local|pyrfume|unified,4
C=CC(O)CCCC,,dream|local|pyrfume|unified,4
COc1cc(C(C)=O)ccc1O,,dream|local|pyrfume|unified,4
Cc1ccc(C(C)C)cc1O,,dream|local|pyrfume|unified,4
O=C1CCCCCC1,,dream|local|pyrfume|unified,4
CC(C)CC(=O)O,,dream|local|pyrfume|unified,4
CSCCCO,,dream|local|pyrfume|unified,4
CSCCCN=C=S,,dream|local|pyrfume|unified,4
OCC1OC(O)C(O)C1O,,dream|local|pyrfume|unified,4
OCC(O)C(O)C(O)C(O)CO,,dream|local|pyrfume|unified,4
CC(O)C(C)O,,dream|local|pyrfume|unified,4
CC(C)=CCCC(C)=CC#N,,dream|local|pyrfume|unified,4
NCCc1ccc(O)cc1,,dream|local|pyrfume|unified,4
CSCCO,,dream|local|pyrfume|unified,4
NC(CS)C(=O)O,,dream|local|pyrfume|unified,4
Cc1ccccc1C=O,,dream|local|pyrfume|unified,4
O=C(O)CC1CCCCC1,,dream|local|pyrfume|unified,4
COc1ccc2ccc(=O)oc2c1,,dream|local|pyrfume|unified,4
Cc1ccco1,,dream|local|pyrfume|unified,4
CC(C)c1ccc(CO)cc1,,dream|local|pyrfume|unified,4
CCCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCCCCOC(=O)CCCCC,,dream|local|pyrfume|unified,4
CCCCCOC(=O)CCC,,dream|local|pyrfume|unified,4
CCC(=O)OCC(C)C,,dream|local|pyrfume|unified,4
CCOC(=O)CC(C)O,,dream|local|pyrfume|unified,4
CC(C)CCS,,dream|local|pyrfume|unified,4
CC(=O)c1ncc(C)nc1C,,dream|local|pyrfume|unified,4
CC(=O)CCc1ccc(O)cc1,,dream|local|pyrfume|unified,4
CCCCC(C)CCC(=O)O,,dream|local|pyrfume|unified,4
CC(=O)c1ccccc1N,,dream|local|pyrfume|unified,4
CCC(=O)OC,,dream|local|pyrfume|unified,4
NCC(=O)O,,dream|local|pyrfume|unified,4
CC(N)C(=O)O,,dream|local|pyrfume|unified,4
OCC(O)CO,,dream|local|pyrfume|unified,4
NC(CC(=O)O)C(=O)O,,dream|local|pyrfume|unified,4
NC(=O)CCC(N)C(=O)O,,dream|local|pyrfume|unified,4
NC(CCC(=O)O)C(=O)O,,dream|local|pyrfume|unified,4
NCCCCC(N)C(=O)O,,dream|local|pyrfume|unified,4
CCCCCC=CCCCO,,dream|local|pyrfume|unified,4
CC(O)CO,,dream|local|pyrfume|unified,4
CC1CCCCC1=O,,dream|local|pyrfume|unified,4
CCC(O)CC,,dream|local|pyrfume|unified,4
CC1CCC(=O)CC1,,dream|local|pyrfume|unified,4
CCCCCC(O)CC,,dream|local|pyrfume|unified,4
CCCCOC(=O)CC,,dream|local|pyrfume|unified,4
O=CSCc1ccco1,,dream|local|pyrfume|unified,4
CC1CCCC(=O)C1,,dream|local|pyrfume|unified,4
COc1cccc(C=O)c1,,dream|local|pyrfume|unified,4
CCCCC(C)=O,,dream|local|pyrfume|unified,4
C=CCCC(=O)O,,dream|local|pyrfume|unified,4
CCCCOC=O,,dream|local|pyrfume|unified,4
C=CCSCC=C,,dream|local|pyrfume|unified,4
C=C(C)C1CC=C(C)CC1,,dream|local|pyrfume|unified,4
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,,dream|local|pyrfume|unified,4
C=CC1(C)CCC(C(C)(C)O)O1,,dream|local|pyrfume|unified,4
OCCc1ccccc1,,dream|local|pyrfume|unified,4
NC(Cc1ccc(O)cc1)C(=O)O,,dream|local|pyrfume|unified,4
CCCC(C)O,,dream|local|pyrfume|unified,4
CCCCCC=CCC=CCCCCCCCC(=O)O,,dream|local|pyrfume|unified,4
COC(=O)c1ccccc1OC,,dream|local|pyrfume|unified,4
COC(=O)c1ccco1,,dream|local|pyrfume|unified,4
COc1ccccc1OC(C)=O,,dream|local|pyrfume|unified,4
CCOC(=O)c1ccco1,,dream|local|pyrfume|unified,4
C=CC(O)CC,,dream|local|pyrfume|unified,4
CC(C)CC(N)C(=O)O,,dream|local|pyrfume|unified,4
CCC=CCCOC(=O)C(C)O,,dream|local|pyrfume|unified,4
Cc1ccc(C=O)o1,,dream|local|pyrfume|unified,4
S=C=NCc1ccccc1,,dream|local|pyrfume|unified,4
CCCC(O)CC,,dream|local|pyrfume|unified,4
CCCC(=O)OC,,dream|local|pyrfume|unified,4
CCCCC(=O)OC,,dream|local|pyrfume|unified,4
Cc1ccc(C)[nH]1,,dream|local|pyrfume|unified,4
CCCCC(C)O,,dream|local|pyrfume|unified,4
CCCCCCCCCCC(=O)OCC,,dream|local|pyrfume|unified,4
CCCCCOC(C)=O,,dream|local|pyrfume|unified,4
CCCSSCCC,,dream|local|pyrfume|unified,4
CCCCCCOC=O,,dream|local|pyrfume|unified,4
CSc1ccoc1C,,dream|local|pyrfume|unified,4
CCCCCCCCCCCC(=O)OCCC(C)C,,dream|local|pyrfume|unified,4
CSCCC(N)C(=O)O,,dream|local|pyrfume|unified,4
CC(=O)OCC1CCCO1,,dream|local|pyrfume|unified,4
CCCCCCOC(=O)CCCCC,,dream|local|pyrfume|unified,4
CCCCCCCC(=O)OCCCCC,,dream|local|pyrfume|unified,4
NCCc1ccccc1,,dream|local|pyrfume|unified,4
CCO,,dream|local|pyrfume|unified,4
CC(=O)O,,dream|local|pyrfume|unified,4
CCC=CCCCCO,,dream|local|pyrfume|unified,4
CCCc1ccc(O)cc1,,dream|local|pyrfume|unified,4
CC(C)CCC(=O)O,,dream|local|pyrfume|unified,4
C=C(C)C1CC=C(C)C(=O)C1,,dream|local|pyrfume|unified,4
CCC=CCCOC(=O)c1ccccc1O,,dream|local|pyrfume|unified,4
CC(=O)OCCc1scnc1C,,dream|local|pyrfume|unified,4
O=C(O)c1ccccc1,,dream|local|pyrfume|unified,4
CCCCCC=O,,dream|local|pyrfume|unified,4
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],,dream|local|pyrfume|unified,4
CCCC=CC=O,,dream|local|pyrfume|unified,4
CCC=CCCC=O,,dream|local|pyrfume|unified,4
CO,,dream|local|pyrfume|unified,4
CC(C)O,,dream|local|pyrfume|unified,4
CC(C)=O,,dream|local|pyrfume|unified,4
CS(C)=O,,dream|local|pyrfume|unified,4
CS(C)(=O)=O,,dream|local|pyrfume|unified,4
CCCC1CCOC(C)S1,,dream|local|pyrfume|unified,4
CC=C(C)C(=O)OCCC=CCC,,dream|local|pyrfume|unified,4
CCCCCCOC(=O)c1ccccc1,,dream|local|pyrfume|unified,4
CC1(C)CCCC2(C)C1CCC1(C)OCCC12,,dream|local|pyrfume|unified,4
CCCCCCCCC(C)=O,,dream|local|pyrfume|unified,4
Cc1cscn1,,dream|local|pyrfume|unified,4
CCC1OC(=O)C(O)=C1C,,dream|local|pyrfume|unified,4
CCCCCC1CCCC(=O)O1,,dream|local|pyrfume|unified,4
CCCCCCC1CCC(=O)O1,,dream|local|pyrfume|unified,4
NC(Cc1cnc[nH]1)C(=O)O,,dream|local|pyrfume|unified,4
CCCCCCC1CCCC(=O)O1,,dream|local|pyrfume|unified,4
CCCO,,dream|local|pyrfume|unified,4
CCCCO,,dream|local|pyrfume|unified,4
CCCCCO,,dream|local|pyrfume|unified,4
c1ccccc1,,dream|local|pyrfume|unified,4
O=C(OCCc1ccccc1)c1ccco1,,dream|local|pyrfume|unified,4
COc1ccccc1S,,dream|local|pyrfume|unified,4
CC(C)C(N)C(=O)O,,dream|local|pyrfume|unified,4
CCOC(=O)C(C)CC,,dream|local|pyrfume|unified,4
NC(N)=NCCCC(N)C(=O)O,,dream|local|pyrfume|unified,4
C=CCOC(=O)c1ccccc1N,,dream|local|pyrfume|unified,4
C=CCOC(=O)C(CC)CC,,dream|local|pyrfume|unified,4
C=CCOC(=O)C(C)=CC,,dream|local|pyrfume|unified,4
CC=O,,dream|local|pyrfume|unified,4
CSC,,dream|local|pyrfume|unified,4
CC(C)=CCCC(C)CCO,,dream|local|pyrfume|unified,4
CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,,dream|local|pyrfume|unified,4
IC(I)I,,dream|local|pyrfume|unified,4
II,,dream|pyrfume,2
O=P([O-])([O-])O.[Na+].[Na+],,dream|local|pyrfume|unified,4
CC(C)(C)O,,dream|local|pyrfume|unified,4
CC(=O)OC1CC2CCC1(C)C2(C)C,,dream|local|pyrfume|unified,4
CC1CCC(=O)C1=O,,dream|local|pyrfume|unified,4
C=C(C)C1CCC(C)C(=O)C1,,dream|local|pyrfume|unified,4
CCCCCCCCCC(OC)OC,,dream|local|pyrfume|unified,4
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],,dream|local|pyrfume|unified,4
CC(C)CCOC(=O)C=Cc1ccccc1,,dream|local|pyrfume|unified,4
CCOC(=O)C1OC1(C)c1ccccc1,,dream|local|pyrfume|unified,4
CC1=CCC2CC1C2(C)C,,dream|local|pyrfume|unified,4
CCCCCCCCOC(=O)CC(C)C,,dream|local|pyrfume|unified,4
CC12CCC(C1)C(C)(C)C2=O,,dream|local|pyrfume|unified,4
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,,dream|local|pyrfume|unified,4
O=C(O)CC(O)(CC(=O)O)C(=O)O,,dream|local|pyrfume|unified,4
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,,dream|local|pyrfume|unified,4
CC1=CC(=O)CC(C)(C)C1,,dream|local|pyrfume|unified,4
C=CC(C)(O)CCC=C(C)C,,dream|local|pyrfume|unified,4
CCC(=O)OCC=Cc1ccccc1,,dream|local|pyrfume|unified,4
CC(C)CO,,dream|local|pyrfume|unified,4
CC(C)C=O,,dream|local|pyrfume|unified,4
CCC(C)=O,,dream|local|pyrfume|unified,4
CCC(=O)O,,dream|local|pyrfume|unified,4
COC(C)=O,,dream|local|pyrfume|unified,4
CC(C)C(=O)O,,dream|local|pyrfume|unified,4
CC(=O)C=CC1=C(C)CCCC1(C)C,,dream|local|pyrfume|unified,4
C=C(C)C(=O)OC,,dream|local|pyrfume|unified,4
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,,dream|local|pyrfume|unified,4
CC=CC(=O)C(C)CC,,dream|local|pyrfume|unified,4
C=CCCCCO,,dream|local|pyrfume|unified,4
